1,clk_drv:0x00 ,q_drv:0x00 ,d_drv:0x00 ,cs0_drv:0x00 ,hd_drv:0x00 ,wp_drv:0x00,0,0,0
2,1.616 ,1.289 ,11.550 ,0.000 ,0.002 ,-0.000,0,0,0
3,1.645 ,1.292 ,11.540 ,0.000 ,-0.000 ,0.000,0,0,0
4,1.669 ,1.259 ,11.541 ,-0.000 ,0.000 ,-0.000,0,0,0
5,1.622 ,1.283 ,11.524 ,-0.001 ,0.002 ,-0.000,0,0,0
6,1.649 ,1.294 ,11.541 ,0.000 ,-0.001 ,-0.001,0,0,0
7,1.650 ,1.279 ,11.584 ,-0.000 ,-0.001 ,-0.000,0,0,0
8,1.635 ,1.267 ,11.588 ,0.001 ,0.001 ,0.000,0,0,0
9,1.631 ,1.294 ,11.523 ,0.000 ,-0.001 ,0.000,0,0,0
10,1.644 ,1.270 ,11.562 ,0.000 ,-0.000 ,0.000,0,0,0
11,1.653 ,1.278 ,11.535 ,0.001 ,0.002 ,-0.001,0,0,0
12,1.632 ,1.280 ,11.568 ,-0.001 ,-0.001 ,0.000,0,0,0
13,1.643 ,1.264 ,11.550 ,-0.002 ,0.001 ,-0.000,0,0,0
14,1.641 ,1.290 ,11.564 ,-0.000 ,-0.000 ,-0.000,0,0,0
15,1.639 ,1.279 ,11.595 ,0.000 ,-0.002 ,-0.001,0,0,0
16,1.662 ,1.291 ,11.569 ,0.000 ,0.001 ,0.001,0,0,0
17,1.642 ,1.289 ,11.571 ,0.000 ,0.000 ,-0.001,0,0,0
18,1.623 ,1.287 ,11.520 ,0.001 ,-0.001 ,-0.000,0,0,0
19,1.648 ,1.259 ,11.548 ,0.000 ,-0.001 ,-0.000,0,0,0
20,1.662 ,1.292 ,11.592 ,0.001 ,-0.001 ,0.000,0,0,0
21,1.643 ,1.270 ,11.597 ,-0.001 ,0.000 ,-0.000,0,0,0
22,1.651 ,1.310 ,11.529 ,0.002 ,-0.002 ,0.000,0,0,0
23,1.609 ,1.277 ,11.530 ,0.001 ,0.000 ,0.002,0,0,0
24,1.645 ,1.279 ,11.555 ,-0.000 ,-0.000 ,-0.000,0,0,0
25,1.644 ,1.279 ,11.530 ,-0.000 ,-0.001 ,0.001,0,0,0
26,1.647 ,1.292 ,11.524 ,-0.000 ,0.001 ,-0.001,0,0,0
27,1.637 ,1.253 ,11.556 ,-0.000 ,0.001 ,-0.000,0,0,0
28,1.631 ,1.276 ,11.574 ,-0.001 ,-0.000 ,-0.001,0,0,0
29,1.640 ,1.296 ,11.551 ,-0.001 ,-0.000 ,-0.001,0,0,0
30,1.644 ,1.259 ,11.515 ,0.000 ,0.002 ,-0.001,0,0,0
31,1.638 ,1.280 ,11.537 ,0.000 ,0.000 ,-0.000,0,0,0
32,1.644 ,1.280 ,11.545 ,-0.001 ,-0.001 ,0.000,0,0,0
33,1.656 ,1.279 ,11.526 ,0.000 ,0.001 ,-0.001,0,0,0
34,1.636 ,1.300 ,11.589 ,0.000 ,0.001 ,-0.001,0,0,0
35,1.628 ,1.280 ,11.582 ,-0.000 ,0.000 ,-0.001,0,0,0
36,1.663 ,1.274 ,11.536 ,-0.001 ,0.000 ,-0.000,0,0,0
37,1.648 ,1.294 ,11.606 ,-0.000 ,-0.000 ,0.000,0,0,0
38,1.644 ,1.287 ,11.547 ,0.001 ,0.000 ,-0.000,0,0,0
39,1.643 ,1.271 ,11.557 ,0.000 ,-0.001 ,0.000,0,0,0
40,1.626 ,1.280 ,11.561 ,-0.000 ,0.001 ,0.000,0,0,0
41,1.658 ,1.265 ,11.563 ,0.001 ,0.000 ,-0.000,0,0,0
